epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
52,0.6932,0.6934,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
53,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
54,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
55,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
56,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
57,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
58,0.6932,0.6934,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
59,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
60,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
61,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
62,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
63,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
64,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
65,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
66,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
67,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
68,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
69,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
70,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
71,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
72,0.6932,0.6934,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
73,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
74,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
75,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
76,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
77,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
78,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
79,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
80,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
81,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
82,0.6932,0.6933,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
83,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
84,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
85,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
86,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
87,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
88,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
89,0.6932,0.6932,0.49370490875654266,0.3305,"MLP20-LeakyReLU-Adagrad-0.1-0"
