train_loss_history,train_acc_history,val_loss_history,val_acc_history
2.304561038208008,0.100575,2.3027500164736607,0.0977
2.3026709804534913,0.0997,2.30261544361236,0.0977
2.30260944480896,0.10025,2.302568333923437,0.115
2.302592272567749,0.099725,2.302603979778897,0.0969
2.302551477813721,0.100575,2.3026134542598844,0.0963
2.302531568145752,0.101975,2.3025883595654917,0.0963
2.3025092041015625,0.098975,2.3025656779100943,0.0963
2.3024978637695312,0.100925,2.30256925570737,0.0963
2.3024797008514404,0.1014,2.3025556278836197,0.0963
2.3024715759277345,0.101775,2.3025554912105486,0.0963
2.302453482055664,0.1008,2.302538613604892,0.0951
2.302439143371582,0.104075,2.3025244390888577,0.0958
2.302427867889404,0.101175,2.302505799919177,0.0958
2.302417571258545,0.10135,2.3025031272013474,0.095
2.3024035709381105,0.10085,2.3024805214754336,0.0958
2.3023882663726805,0.103425,2.3024790985569075,0.0963
2.3023805210113526,0.101025,2.302463122993518,0.0963
2.3023670803070067,0.102475,2.302463039471086,0.0963
2.302354411315918,0.1008,2.3024549089419613,0.0948
2.302344202041626,0.104325,2.3024433190655555,0.0954
2.302332710647583,0.10375,2.3024263078240073,0.0962
2.302323946762085,0.09925,2.3024201332383853,0.0963
2.302312212753296,0.100225,2.3024095289266793,0.0962
2.3023006633758545,0.1002,2.3024057263781312,0.0964
2.3022876918792723,0.099625,2.302388265634039,0.0957
2.3022755435943605,0.103425,2.30238816540712,0.0964
2.302264570617676,0.10265,2.302367339468306,0.096
2.302255115509033,0.10045,2.3023611345108907,0.0951
2.3022433559417723,0.10045,2.302345561373765,0.0949
2.3022327228546144,0.1007,2.3023402007522096,0.0934
2.302222193527222,0.101125,2.3023354050460134,0.0947
2.302210845184326,0.105025,2.302323799983711,0.0953
2.3021991619110107,0.09905,2.3023231895106613,0.0959
2.302189007949829,0.100525,2.3022951062317865,0.0961
2.302178023147583,0.100925,2.3022746083083425,0.0945
2.302165536117554,0.100675,2.302277123092846,0.0943
2.3021546325683593,0.099675,2.3022533374227536,0.0942
2.302144804382324,0.100775,2.3022530230746905,0.0947
2.302131985092163,0.099375,2.302227847895045,0.0947
2.3021192413330076,0.10095,2.302218649797379,0.0943
2.3021087268829348,0.106075,2.3022069353966197,0.0945
2.3020980003356932,0.10055,2.302206446410744,0.0942
2.302086588668823,0.099525,2.302202255103239,0.0941
2.3020747814178466,0.0973,2.3021805073804917,0.0936
2.302062924194336,0.0997,2.3021731634808194,0.093
2.30205200920105,0.0992,2.3021513489401264,0.0929
2.3020380321502687,0.096275,2.3021574339289574,0.0937
2.302026202392578,0.102025,2.3021399367387128,0.094
2.3020130886077883,0.097775,2.302133681667838,0.0927
2.302002593612671,0.098775,2.30213442122101,0.0928
2.3019895092010496,0.10165,2.3020943532324143,0.0926
2.3019779083251954,0.09865,2.3020999963116493,0.0926
2.3019639430999757,0.10115,2.3020766798857673,0.0928
2.3019515941619875,0.099675,2.3020750944781456,0.0928
2.3019400245666506,0.104025,2.302050721113849,0.0924
2.3019267696380616,0.101175,2.302045419717291,0.0927
2.3019136226654053,0.09985,2.302018048656974,0.0926
2.301900273132324,0.098325,2.3020147760962226,0.0926
2.301886954498291,0.0986,2.3019996889077934,0.0925
2.301873518371582,0.099325,2.3019851985251067,0.0926
2.301861011505127,0.09925,2.301971113605864,0.0922
2.3018476612091066,0.1002,2.301958445530788,0.0931
2.301832887649536,0.098975,2.3019555435059176,0.0928
2.301820348739624,0.09805,2.3019255194694375,0.0924
2.30180499458313,0.09715,2.3019134041610037,0.0926
2.301790902328491,0.10235,2.301914858969913,0.0928
2.301777420425415,0.100075,2.30188550311289,0.0923
2.301763319015503,0.09545,2.3018737492287995,0.0928
2.301748306274414,0.097525,2.3018627273049326,0.0921
2.3017350887298584,0.09785,2.301848147325455,0.0924
2.3017197025299074,0.09725,2.301837143624664,0.0931
2.301705056762695,0.098625,2.3018165439557117,0.0928
2.3016896907806395,0.1005,2.301820692742706,0.0929
2.301674412536621,0.099375,2.3017867264474274,0.0928
2.3016590454101564,0.096175,2.301779870015041,0.0931
2.301644395446777,0.098475,2.301764899758017,0.0931
2.301628437042236,0.09765,2.301738883279691,0.0932
2.3016118824005125,0.098025,2.3017200451747626,0.0931
2.301596664428711,0.0965,2.3017146815160276,0.093
2.3015805789947508,0.098575,2.301697115989248,0.093
2.301564265823364,0.102775,2.3016832983417874,0.0928
2.3015473251342775,0.097925,2.3016643949375033,0.0935
2.3015323635101317,0.097025,2.301640876539194,0.0933
2.301515040588379,0.102475,2.3016317908171637,0.0931
2.301497847366333,0.0984,2.3016101645815903,0.093
2.301480859375,0.0981,2.301597171528324,0.0935
2.3014631656646727,0.0992,2.3016007311025244,0.0934
2.3014459480285643,0.10705,2.3015549137334155,0.0925
2.301427767562866,0.0991,2.3015485219894702,0.0925
2.301410448074341,0.09815,2.301527644418607,0.0919
2.3013926864624024,0.101525,2.3015051996631986,0.0914
2.301374391555786,0.0974,2.3014912104151053,0.0918
2.301355842590332,0.097875,2.3014730161921992,0.0913
2.3013373416900635,0.097575,2.3014461310805787,0.0918
2.3013182865142823,0.101375,2.301418450227968,0.092
2.3012989624023437,0.0995,2.301405340243297,0.0928
2.3012807067871095,0.100425,2.3013898202568104,0.0929
2.301261248779297,0.0988,2.301364301875898,0.093
2.301242066955566,0.097575,2.301354169845581,0.0933
2.301221287536621,0.1009,2.301332223187586,0.0944
