train_loss_history,train_acc_history,val_loss_history,val_acc_history
2.016504312705994,0.277975,1.9072897684801915,0.3181
1.8557803258895873,0.340125,1.8338209390640259,0.343
1.8010309211730957,0.35975,1.7895162075188509,0.3585
1.7608302759170533,0.372675,1.752107763745982,0.3717
1.7271982578277587,0.383775,1.7185898032158045,0.3851
1.6985970703125,0.393775,1.694894181694954,0.3942
1.6741776742935182,0.401975,1.6719011926347283,0.4028
1.6540356075286866,0.4078,1.6575646704169595,0.4057
1.6379883363723755,0.41285,1.636528510956248,0.4096
1.62454428024292,0.418525,1.625849156622674,0.4143
1.6130151466369629,0.421475,1.61465086451002,0.4175
1.6033069231033326,0.42435,1.6063092886262638,0.4217
1.5945694723129273,0.428975,1.5975370103386557,0.4261
1.5867789194107056,0.431175,1.5890318626051496,0.4262
1.5797454998016358,0.434025,1.5831130879699804,0.43
1.5729062656402588,0.435625,1.5756745756052102,0.4325
1.5667190330505372,0.438125,1.570038033898469,0.4338
1.5612883581161499,0.440925,1.5640036065107699,0.4374
1.5560984090805055,0.442075,1.5590406625893465,0.4416
1.5506033967971802,0.44355,1.5537211841838374,0.4404
1.5457783977508546,0.4463,1.547376789864461,0.444
1.5414374073028565,0.447625,1.5451168778595652,0.4449
1.5372490264892578,0.44935,1.5431226894354364,0.4458
1.533435012626648,0.45085,1.537564581366861,0.448
1.5294559415817262,0.45205,1.5364912505362445,0.4487
1.526277746963501,0.4534,1.5305969578445338,0.4492
1.5228105001449586,0.455825,1.5271136327913613,0.4506
1.5197351779937744,0.456875,1.524460473637672,0.4537
1.5164808689117433,0.458475,1.5184882833699511,0.4544
1.5135487571716308,0.4592,1.5185185306391138,0.4556
1.510494730949402,0.459925,1.514639589437254,0.4574
1.5077639566421508,0.461175,1.513222434718138,0.4594
1.50521888256073,0.461725,1.5128164921596552,0.4576
1.502484631729126,0.462775,1.5083879475380964,0.4605
1.4999530281066895,0.464475,1.5043340503789817,0.4643
1.4976828702926637,0.46515,1.5011561964727511,0.4619
1.495183925819397,0.466625,1.5006720579353867,0.4645
1.4929805364608764,0.467525,1.498226275109941,0.464
1.4905742805480957,0.468775,1.4942768128814212,0.4633
1.4883472507476807,0.468925,1.491594910621643,0.4673
1.486198775291443,0.469175,1.491147476396743,0.4675
1.4837985153198243,0.47115,1.4880187959428046,0.4679
1.4816781101226806,0.472075,1.487453424247207,0.468
1.4796633098602294,0.472125,1.4837291164762656,0.4719
1.4773799598693849,0.474075,1.4826666693778554,0.4706
1.4752503366470338,0.474125,1.4827092195012768,0.472
1.47316287689209,0.47515,1.4821190067157624,0.472
1.4713762577056886,0.4755,1.4761701898210366,0.474
1.4693327269554137,0.4764,1.4748238279561328,0.4728
1.4673788789749145,0.478075,1.471566765171707,0.4729
1.465600234603882,0.4791,1.4743397266242155,0.4747
1.4639062452316285,0.478975,1.4689576997878446,0.4761
1.461905905532837,0.47945,1.4701895630283721,0.4752
1.4601349382400512,0.479725,1.4680313661599615,0.4764
1.4584499071121215,0.482125,1.4639303107170543,0.4753
1.4567383628845214,0.4817,1.4615921928624438,0.4796
1.4550624376296997,0.482975,1.4607818741707286,0.479
1.4534030126571655,0.48275,1.4587009970549565,0.4783
1.4517850999832154,0.4836,1.4596417534882855,0.479
1.4502606796264648,0.484625,1.4586826775484025,0.4815
1.4487294847488403,0.48495,1.4543010004007133,0.4822
1.447000793838501,0.486375,1.4528408217581974,0.4809
1.4455868082046508,0.4852,1.4533432038726322,0.4828
1.4439935661315917,0.487325,1.4504138884271027,0.4834
1.4424951829910277,0.48855,1.4507749467898325,0.4837
1.4411856939315797,0.4878,1.4476949530801955,0.4872
1.4394525581359863,0.489925,1.4487853839898566,0.4849
1.4382905601501466,0.489225,1.4461317920381096,0.487
1.4367293476104737,0.490725,1.4442840381792397,0.4851
1.4353407865524292,0.48965,1.441809774963719,0.4851
1.4341937263488769,0.49065,1.4429369830781487,0.487
1.4328833438873292,0.492325,1.4395437711363386,0.4888
1.4312505464553833,0.49205,1.4401889553495273,0.4888
1.4300055372238158,0.49265,1.4385519020117012,0.4891
1.4287048915863036,0.49345,1.4371162451756228,0.489
1.4273575428009033,0.493975,1.4361041564090995,0.491
1.4261929334640502,0.494125,1.4354206581783902,0.4899
1.424928502368927,0.4945,1.4361948177313348,0.4913
1.4235884298324586,0.495025,1.431265435401042,0.4898
1.4223932668685912,0.496425,1.4317789442220312,0.4912
1.4212956886291503,0.49665,1.4295383752531308,0.4927
1.4199237138748169,0.49655,1.4274764402656799,0.4912
1.4189302272796631,0.49645,1.4275373660834731,0.4942
1.4175359268188477,0.497575,1.42582012893288,0.4915
1.4166052293777467,0.498075,1.425295620207574,0.4961
1.4152387441635133,0.4982,1.4252177431325244,0.496
1.4142936120986938,0.499725,1.422068795580773,0.4951
1.4130992385864258,0.49845,1.4241799495782062,0.4955
1.4118607315063476,0.500475,1.4214183919748682,0.4954
1.4109024955749512,0.500625,1.4200848637113146,0.4968
1.4097693199157715,0.5001,1.4211576463310582,0.4956
1.408584424972534,0.50145,1.4182804200299985,0.4959
1.4075776054382325,0.501575,1.418308444083876,0.4961
1.4065597122192384,0.5019,1.4151583097542926,0.496
1.4054739597320556,0.502075,1.4156972693789536,0.4958
1.4043323453903198,0.502825,1.416688748985339,0.4989
1.4034819623947143,0.503525,1.4134092748544778,0.4991
1.402417706489563,0.503725,1.4108248015118252,0.4999
1.4012584522247316,0.50435,1.4112385564548955,0.4994
1.4003611316680908,0.504625,1.4116118364273362,0.5
