train_loss_history,train_acc_history,val_loss_history,val_acc_history
5.177187987899781,0.246525,4.502975570168465,0.279
6.237002760696411,0.25555,7.741904495628017,0.2869
6.1649391632080075,0.273775,3.9772683647787495,0.31
5.57745064163208,0.280875,4.376539521915897,0.277
5.425032734298706,0.28185,5.963377946501325,0.2695
5.117541884613037,0.2863,4.932736217595969,0.3095
5.880051057434082,0.274475,4.965658778597595,0.2628
5.590362500762939,0.276925,7.099196282162029,0.2661
5.554065896224976,0.2753,5.152245649106943,0.2819
5.732343921279908,0.28065,4.916916371910435,0.2747
5.573028607177735,0.2836,6.340414903725788,0.2598
5.440617900848388,0.288425,4.886602022085979,0.2981
5.291396315383911,0.299975,5.162642472868512,0.2975
5.206496881103516,0.3008,5.267766686761455,0.305
5.434619495773315,0.298425,4.895663247746267,0.2984
5.527449001312256,0.292425,5.332050754765796,0.2732
5.168284603118897,0.2933,5.576912567114374,0.3124
4.97680175819397,0.302675,5.761372183538546,0.2929
5.253747632598877,0.297525,6.12089762110619,0.282
5.107110886383056,0.29655,5.116550799388035,0.2817
5.111477415847778,0.298425,5.381379501075502,0.2868
5.144013562011719,0.3072,4.925428088303584,0.2831
5.452531169891357,0.295425,3.91064780988511,0.3349
5.68177282371521,0.2918,4.95146548064651,0.3188
5.116197416687012,0.30905,5.283158663731472,0.302
5.282059284591675,0.2964,5.503146818489026,0.2787
5.3586329708099365,0.29725,4.576983635592613,0.285
4.993969917297363,0.30335,4.434090145074638,0.3141
5.269569856262207,0.302975,4.490588472147656,0.3348
5.20219387588501,0.30205,5.356455402009806,0.3162
5.174506704330445,0.303625,5.205524892564032,0.2815
5.478615344238281,0.3017,5.269709104185651,0.3111
5.60048059425354,0.291475,4.858445456073542,0.3222
5.73708902015686,0.298275,4.958213742371577,0.3008
5.44404232673645,0.2987,5.470845819278887,0.2923
5.227401198196411,0.309875,4.7010695372417475,0.3245
5.8604981826782225,0.300825,5.028540090390831,0.286
5.865204819869995,0.3086,5.326540573387389,0.3151
5.412552433013916,0.30025,6.052093557491424,0.255
5.536829124069214,0.29015,7.2681399910313305,0.3044
5.583892043685913,0.2915,5.908665846867167,0.2764
5.3954148273468014,0.30065,6.005045116327371,0.2925
5.492981565093994,0.300775,4.782063069616913,0.3074
5.497696408081055,0.300775,6.472276493242592,0.2897
5.616574122238159,0.3011,9.813429413327746,0.2234
5.958253743743897,0.296575,5.081422473214994,0.3266
5.682401288604736,0.2975,4.859268650127824,0.3353
5.40084461555481,0.300225,4.670725505063488,0.3042
5.795649487304687,0.290775,5.343824327371682,0.3057
5.759716864013672,0.29035,5.546839249361852,0.3301
5.307491268157959,0.300375,4.801575946200425,0.2998
5.3899158821105955,0.29865,6.705464739708384,0.2976
5.511991355133056,0.30185,5.3011438132850985,0.321
5.015943669509888,0.313575,5.696559344127679,0.3328
5.308111162185669,0.310925,4.812694753051564,0.336
5.289364464187622,0.3183,4.09837284209622,0.3336
5.361185799789428,0.306,4.818670550729059,0.3137
5.529442850112915,0.298575,4.731147189049205,0.3034
5.349581511306763,0.299725,4.6212635693276765,0.3139
5.404809572219849,0.304,5.943520453325503,0.3093
5.20815189743042,0.3066,6.23877168461016,0.272
5.085944960021973,0.307125,5.463896643583942,0.3175
5.289971790695191,0.3078,4.041307818358112,0.3354
5.0413165939331055,0.307775,4.668807919617671,0.3133
4.940819849395752,0.310725,5.245535660701193,0.3039
5.122513353729248,0.3004,6.221859227320191,0.294
5.114519866561889,0.297125,5.085119259585241,0.3222
5.129667760848999,0.298025,4.795481947576924,0.2811
5.026971426010132,0.296125,5.100247146217686,0.2548
5.254979303741455,0.2909,6.37098685343554,0.2535
5.290757720947266,0.298575,4.929885490684752,0.3065
5.200944972610474,0.301925,5.493229844767576,0.3059
5.15185746383667,0.302425,5.745346423167332,0.3159
5.011617191314698,0.305275,4.797166842563897,0.3174
5.070452305603028,0.3091,5.884645370920753,0.2918
5.373712145996094,0.3022,5.731974553150736,0.2999
5.177931118392944,0.303975,4.50979995879398,0.3195
5.242783422851563,0.309475,4.335747869151413,0.3136
5.187794337081909,0.30265,5.752582991958424,0.2776
5.6416768512725834,0.3017,5.578216271795285,0.3002
5.56809442024231,0.299025,5.285708369722792,0.3033
5.3038942241668705,0.302225,5.184176349336175,0.2903
5.559416332244873,0.306875,5.523641729051141,0.2871
5.261060524368286,0.302325,5.0507834641037475,0.2837
5.183328871917724,0.302525,4.662439133710922,0.3311
5.018912812042236,0.30455,4.881195047099119,0.3152
5.129020630264282,0.30545,5.609539025908063,0.3038
5.188470649337768,0.304975,5.353796164700939,0.2834
5.1078839645385745,0.313875,4.91201185117102,0.2984
5.056833514022827,0.308325,4.374508400631559,0.3229
5.145565941619873,0.308875,5.506626516390758,0.3172
5.120021063995361,0.307725,4.934056670802414,0.308
5.322310430526733,0.2982,6.037181131399361,0.2969
5.421801276397705,0.300275,5.08871640369391,0.2808
5.187312239456177,0.30175,5.977313813889862,0.2648
4.9845441009521485,0.3056,5.760574103920323,0.2895
5.1624864433288575,0.300125,4.935812256138796,0.324
5.254746432876587,0.30535,4.633186975102515,0.3201
5.132832415771484,0.3058,5.4020952449482715,0.3033
5.241771379089355,0.3038,5.541782810429859,0.2981
