train_loss_history,train_acc_history,val_loss_history,val_acc_history
1.836411929512024,0.32985,1.753668212586907,0.3726
1.7301294748306275,0.376875,1.6357511813473549,0.403
1.6552012912750245,0.407775,1.7110021661041648,0.3772
1.594800442314148,0.4273,1.586402229442718,0.4199
1.5279704370498657,0.4538,1.5663062949089488,0.4259
1.4998506452560425,0.4685,1.459070292248088,0.4827
1.4363476879119874,0.488975,1.4812080655128332,0.4704
1.4047825315475464,0.503125,1.366547933050022,0.5183
1.3780898005485536,0.5136,1.3969456906531268,0.4987
1.355919189453125,0.52135,1.4293993779808094,0.483
1.3624033034324645,0.516025,1.3350736202707716,0.5316
1.3325649325370788,0.5318,1.3399000593051789,0.5208
1.3086079249382019,0.539525,1.4608328843572338,0.5197
1.2963071608543395,0.545275,1.3106115646423049,0.5523
1.281820110321045,0.552475,1.3245142405959451,0.5337
1.2941458529472352,0.5482,1.3311249556814788,0.5239
1.2749176307678223,0.5534,1.351149076109479,0.5289
1.2602828538894653,0.560025,1.2926790592776742,0.5501
1.2413430629730224,0.5651,1.3025462448976601,0.5475
1.223996513748169,0.5716,1.273136019706726,0.5553
1.2274568296432495,0.571275,1.240206789059244,0.5682
1.2012763257026673,0.58005,1.3377293428038335,0.542
1.1902139865875243,0.581525,1.2105056089200792,0.587
1.200751811313629,0.582475,1.203849491040418,0.5798
1.206123220539093,0.580775,1.2402660155751903,0.5688
1.1834843200683594,0.586825,1.2338658677544563,0.572
1.2014867618560792,0.582425,1.2878745433631216,0.5531
1.166861971950531,0.594025,1.2824386646793147,0.5518
1.1814325908660888,0.588175,1.2140357065352665,0.5821
1.1698351531982423,0.59035,1.387095239891368,0.519
1.1859245315551759,0.5871,1.2204169194409802,0.571
1.1597076981544494,0.592725,1.284539298646769,0.5518
1.1924058111190796,0.58415,1.2502163227196712,0.5767
1.1737347270011902,0.591975,1.2452181642222557,0.5863
1.1579217792510987,0.5945,1.2433957070302053,0.5719
1.1578686100959779,0.5963,1.2425146076329954,0.5783
1.2730359590530396,0.554825,1.2120191701658212,0.5772
1.1807822682380675,0.586925,1.2612636347485195,0.5777
1.177496100616455,0.5897,1.323006289400113,0.5491
1.179468830394745,0.5886,1.2424659019063233,0.5738
1.1836875617027283,0.585275,1.2783079769960635,0.573
1.2002983952522277,0.5813,1.305115366057985,0.5497
1.1639674671173095,0.596075,1.3255765138158373,0.5507
1.2434047486305237,0.5685,1.2663481330416004,0.5548
1.1884012791633607,0.58535,1.3184071509701432,0.549
1.1762370520591736,0.58965,1.2579836997256917,0.5732
1.2035774076461792,0.5805,1.324989692800364,0.5404
1.1730298510551453,0.5903,1.2740967816607967,0.5599
1.157010211277008,0.59855,1.3090474700472157,0.5521
1.1490994566917418,0.597975,1.2168313333183338,0.5836
1.1531182825088502,0.600175,1.2277346188855018,0.5902
1.159363961315155,0.597675,1.3916294662056454,0.5166
1.1955467741966248,0.5847,1.2947520139111075,0.5483
1.1893573991775512,0.586075,1.4888182878494263,0.4776
1.1785868701934814,0.589325,1.2439257168466118,0.5721
1.1320958134651185,0.60765,1.2051722479474014,0.5953
1.1460709315299988,0.5989,1.2583729681695344,0.5883
1.1345983900070191,0.60425,1.1856554989602155,0.5979
1.1241952692985535,0.6071,1.2274827896409732,0.5842
1.1148442232131959,0.6112,1.2330871167456268,0.5807
1.131892864894867,0.603575,1.2614887732609061,0.5846
,0.48205,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
,0.100175,,0.0993
