epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
67,0.5091,0.5178,0.7394256613382374,0.7394,MLP520-Tanh-Adagrad-0.01-0
68,0.5087,0.5167,0.742537841278823,0.7421,MLP520-Tanh-Adagrad-0.01-0
69,0.5092,0.518,0.7374451831942284,0.736,MLP520-Tanh-Adagrad-0.01-0
70,0.5087,0.5197,0.734898854151931,0.7329,MLP520-Tanh-Adagrad-0.01-0
71,0.5091,0.5169,0.7409817513085302,0.7406,MLP520-Tanh-Adagrad-0.01-0
72,0.5086,0.5171,0.7402744376856698,0.7401,MLP520-Tanh-Adagrad-0.01-0
73,0.5091,0.5166,0.740557363134814,0.7399,MLP520-Tanh-Adagrad-0.01-0
74,0.5091,0.5167,0.7409817513085302,0.7403,MLP520-Tanh-Adagrad-0.01-0
75,0.5083,0.5179,0.7390012731645211,0.7377,MLP520-Tanh-Adagrad-0.01-0
76,0.5079,0.5169,0.740557363134814,0.7403,MLP520-Tanh-Adagrad-0.01-0
77,0.5086,0.5169,0.7402744376856698,0.7395,MLP520-Tanh-Adagrad-0.01-0
78,0.5087,0.5182,0.7363134813976517,0.7348,MLP520-Tanh-Adagrad-0.01-0
79,0.5077,0.517,0.7408402885839581,0.7399,MLP520-Tanh-Adagrad-0.01-0
80,0.5084,0.5167,0.7404159004102419,0.74,MLP520-Tanh-Adagrad-0.01-0
81,0.508,0.5171,0.7409817513085302,0.7408,MLP520-Tanh-Adagrad-0.01-0
82,0.5086,0.5166,0.7416890649313905,0.7412,MLP520-Tanh-Adagrad-0.01-0
83,0.5089,0.5165,0.7402744376856698,0.7398,MLP520-Tanh-Adagrad-0.01-0
84,0.5087,0.517,0.7395671240628094,0.7387,MLP520-Tanh-Adagrad-0.01-0
85,0.5087,0.5168,0.7398500495119535,0.7391,MLP520-Tanh-Adagrad-0.01-0
86,0.5097,0.517,0.7404159004102419,0.7395,MLP520-Tanh-Adagrad-0.01-0
87,0.5078,0.518,0.7394256613382374,0.7394,MLP520-Tanh-Adagrad-0.01-0
88,0.5094,0.5172,0.740557363134814,0.7395,MLP520-Tanh-Adagrad-0.01-0
89,0.5085,0.517,0.7401329749610978,0.7391,MLP520-Tanh-Adagrad-0.01-0
90,0.5078,0.519,0.7356061677747914,0.7337,MLP520-Tanh-Adagrad-0.01-0
91,0.5087,0.5167,0.7404159004102419,0.7401,MLP520-Tanh-Adagrad-0.01-0
92,0.5085,0.5166,0.7402744376856698,0.7399,MLP520-Tanh-Adagrad-0.01-0
93,0.5081,0.5166,0.740557363134814,0.7401,MLP520-Tanh-Adagrad-0.01-0
94,0.5075,0.5176,0.7391427358890932,0.7379,MLP520-Tanh-Adagrad-0.01-0
