epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
39,0.5113,0.518,0.509,0.7524752475247525,0.7514,0.7431036921771114,0.7423,0.7498806429367142,0.7493,MLP520-Tanh-Adagrad-0.01-0
40,0.5104,0.5181,0.5091,0.7527581329561528,0.7516,0.742537841278823,0.7417,0.7493148020441002,0.7487,MLP520-Tanh-Adagrad-0.01-0
41,0.5113,0.518,0.5096,0.7503536067892503,0.75,0.7402744376856698,0.7401,0.7494385797393596,0.7493,MLP520-Tanh-Adagrad-0.01-0
42,0.5108,0.5187,0.5104,0.75007072135785,0.7499,0.7397085867873815,0.7396,0.7489257864304281,0.7489,MLP520-Tanh-Adagrad-0.01-0
43,0.5109,0.5191,0.5098,0.7513437057991513,0.7495,0.7398500495119535,0.7384,0.7497568652414549,0.7486,MLP520-Tanh-Adagrad-0.01-0
44,0.5113,0.5191,0.511,0.751060820367751,0.7509,0.7388598104399491,0.7388,0.7483068979541315,0.7483,MLP520-Tanh-Adagrad-0.01-0
45,0.5105,0.5183,0.5093,0.7544554455445545,0.7529,0.7416890649313905,0.7404,0.7496861351298781,0.7487,MLP520-Tanh-Adagrad-0.01-0
46,0.5109,0.5183,0.51,0.7506364922206507,0.7504,0.740557363134814,0.7405,0.7495093098509363,0.7495,MLP520-Tanh-Adagrad-0.01-0
47,0.5108,0.5176,0.5088,0.750919377652051,0.7501,0.7429622294525392,0.7424,0.7498629604088201,0.7494,MLP520-Tanh-Adagrad-0.01-0
48,0.5102,0.5184,0.5102,0.751060820367751,0.7508,0.7416890649313905,0.7416,0.7491910243488409,0.7491,MLP520-Tanh-Adagrad-0.01-0
49,0.5111,0.5198,0.5119,0.7487977369165488,0.7488,0.7381524968170887,0.7382,0.7475642317825756,0.7476,MLP520-Tanh-Adagrad-0.01-0
50,0.5112,0.5181,0.5099,0.751060820367751,0.7508,0.7399915122365257,0.7399,0.7492263894046293,0.7491,MLP520-Tanh-Adagrad-0.01-0
51,0.5103,0.5173,0.5088,0.7504950495049505,0.75,0.7414061394822464,0.741,0.7501281983272329,0.7499,MLP520-Tanh-Adagrad-0.01-0
52,0.5103,0.5175,0.5086,0.7534653465346535,0.7524,0.742396378554251,0.7416,0.7498452778809258,0.7493,MLP520-Tanh-Adagrad-0.01-0
53,0.5109,0.5177,0.5088,0.753041018387553,0.7519,0.7418305276559627,0.7409,0.7496861351298781,0.7489,MLP520-Tanh-Adagrad-0.01-0
54,0.5103,0.5216,0.5137,0.746958981612447,0.747,0.7377281086433725,0.7377,0.7461319470231464,0.7461,MLP520-Tanh-Adagrad-0.01-0
55,0.5095,0.518,0.509,0.7531824611032532,0.7518,0.7414061394822464,0.7403,0.7497922302972433,0.7489,MLP520-Tanh-Adagrad-0.01-0
56,0.5105,0.5174,0.5089,0.7502121640735502,0.7497,0.7412646767576744,0.741,0.750234293494598,0.75,MLP520-Tanh-Adagrad-0.01-0
57,0.5091,0.5176,0.5087,0.7537482319660538,0.7526,0.7414061394822464,0.7404,0.7498099128251375,0.7491,MLP520-Tanh-Adagrad-0.01-0
58,0.5104,0.5184,0.5094,0.7526166902404526,0.7509,0.7414061394822464,0.74,0.7497038176577724,0.7486,MLP520-Tanh-Adagrad-0.01-0
59,0.5102,0.517,0.5084,0.7514851485148515,0.7507,0.742396378554251,0.7419,0.7504641663572225,0.7501,MLP520-Tanh-Adagrad-0.01-0
60,0.5107,0.518,0.5091,0.7533239038189533,0.7517,0.7409817513085302,0.7397,0.7497391827135608,0.7487,MLP520-Tanh-Adagrad-0.01-0
61,0.5095,0.5171,0.5087,0.750919377652051,0.7504,0.7416890649313905,0.7414,0.7501281983272329,0.7499,MLP520-Tanh-Adagrad-0.01-0
62,0.5096,0.5206,0.5129,0.7478076379066478,0.7478,0.7384354222662328,0.7384,0.7464855975810302,0.7465,MLP520-Tanh-Adagrad-0.01-0
63,0.5102,0.5186,0.5095,0.752050919377652,0.7501,0.7404159004102419,0.7389,0.7502696585503864,0.7491,MLP520-Tanh-Adagrad-0.01-0
64,0.51,0.5178,0.5088,0.7534653465346535,0.7522,0.7418305276559627,0.7408,0.7499160079925026,0.7491,MLP520-Tanh-Adagrad-0.01-0
65,0.5105,0.5172,0.5088,0.7512022630834512,0.7507,0.7422549158296788,0.7419,0.7503757537177514,0.7501,MLP520-Tanh-Adagrad-0.01-0
66,0.5107,0.5174,0.5085,0.7524752475247525,0.7513,0.7418305276559627,0.7409,0.7496330875461956,0.7489,MLP520-Tanh-Adagrad-0.01-0
67,0.5105,0.5172,0.5086,0.7514851485148515,0.7507,0.7429622294525392,0.7424,0.7500044206319736,0.7495,MLP520-Tanh-Adagrad-0.01-0
68,0.5105,0.5175,0.5092,0.7517680339462518,0.7514,0.7411232140331023,0.7409,0.7497391827135608,0.7496,MLP520-Tanh-Adagrad-0.01-0
69,0.5091,0.5171,0.5087,0.751909476661952,0.7514,0.7414061394822464,0.7411,0.7500928332714445,0.7499,MLP520-Tanh-Adagrad-0.01-0
70,0.5098,0.5175,0.5086,0.7543140028288543,0.7531,0.7422549158296788,0.7412,0.7497568652414549,0.749,MLP520-Tanh-Adagrad-0.01-0
