epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
58,0.5141,0.5293,0.7432451549016834,0.7381,SmallMLP-Tanh-SGD-0.1-0
59,0.5117,0.5187,0.7384354222662328,0.7373,SmallMLP-Tanh-SGD-0.1-0
60,0.5073,0.5271,0.7421134531051068,0.7362,SmallMLP-Tanh-SGD-0.1-0
61,0.5169,0.5131,0.7431036921771114,0.742,SmallMLP-Tanh-SGD-0.1-0
62,0.5189,0.5282,0.7343330032536427,0.7335,SmallMLP-Tanh-SGD-0.1-0
63,0.51,0.528,0.7285330315461875,0.7278,SmallMLP-Tanh-SGD-0.1-0
64,0.5169,0.5123,0.7490451266091385,0.7464,SmallMLP-Tanh-SGD-0.1-0
65,0.5142,0.511,0.7466402602914132,0.7449,SmallMLP-Tanh-SGD-0.1-0
66,0.5122,0.5167,0.7476304993634177,0.7452,SmallMLP-Tanh-SGD-0.1-0
67,0.512,0.5223,0.7408402885839581,0.7408,SmallMLP-Tanh-SGD-0.1-0
68,0.5172,0.5192,0.7380110340925167,0.738,SmallMLP-Tanh-SGD-0.1-0
69,0.5096,0.5264,0.7315037487622011,0.7311,SmallMLP-Tanh-SGD-0.1-0
70,0.5091,0.5194,0.7426793040033951,0.7361,SmallMLP-Tanh-SGD-0.1-0
71,0.5172,0.524,0.7310793605884849,0.7308,SmallMLP-Tanh-SGD-0.1-0
72,0.5131,0.5162,0.738718347715377,0.7387,SmallMLP-Tanh-SGD-0.1-0
73,0.5258,0.5309,0.746215872117697,0.7423,SmallMLP-Tanh-SGD-0.1-0
74,0.5116,0.5111,0.7450841703211204,0.7447,SmallMLP-Tanh-SGD-0.1-0
75,0.5185,0.5248,0.7375866459188004,0.7279,SmallMLP-Tanh-SGD-0.1-0
76,0.5184,0.5245,0.7456500212194087,0.741,SmallMLP-Tanh-SGD-0.1-0
77,0.5118,0.5233,0.7298061960673362,0.729,SmallMLP-Tanh-SGD-0.1-0
78,0.5076,0.5265,0.742396378554251,0.7396,SmallMLP-Tanh-SGD-0.1-0
79,0.5114,0.5144,0.7448012448719762,0.7445,SmallMLP-Tanh-SGD-0.1-0
80,0.5077,0.5111,0.7453670957702645,0.7445,SmallMLP-Tanh-SGD-0.1-0
81,0.51,0.5208,0.7227330598387325,0.7213,SmallMLP-Tanh-SGD-0.1-0
82,0.5132,0.5232,0.7334842269062102,0.7332,SmallMLP-Tanh-SGD-0.1-0
83,0.5158,0.5097,0.7479134248125618,0.7459,SmallMLP-Tanh-SGD-0.1-0
84,0.5174,0.5269,0.7385768849908049,0.7386,SmallMLP-Tanh-SGD-0.1-0
85,0.5118,0.5164,0.7453670957702645,0.7419,SmallMLP-Tanh-SGD-0.1-0
86,0.5102,0.5193,0.7453670957702645,0.7402,SmallMLP-Tanh-SGD-0.1-0
87,0.5112,0.5204,0.742396378554251,0.7398,SmallMLP-Tanh-SGD-0.1-0
88,0.5117,0.52,0.7452256330456924,0.7442,SmallMLP-Tanh-SGD-0.1-0
89,0.5101,0.5328,0.7435280803508275,0.7388,SmallMLP-Tanh-SGD-0.1-0
90,0.5185,0.5206,0.7453670957702645,0.7428,SmallMLP-Tanh-SGD-0.1-0
91,0.5123,0.5259,0.7414061394822464,0.7349,SmallMLP-Tanh-SGD-0.1-0
92,0.5109,0.5452,0.7234403734615928,0.7082,SmallMLP-Tanh-SGD-0.1-0
93,0.5151,0.5162,0.7422549158296788,0.7419,SmallMLP-Tanh-SGD-0.1-0
94,0.5139,0.5298,0.7448012448719762,0.7438,SmallMLP-Tanh-SGD-0.1-0
95,0.509,0.5362,0.7237232989107371,0.7228,SmallMLP-Tanh-SGD-0.1-0
96,0.5132,0.5237,0.7343330032536427,0.7343,SmallMLP-Tanh-SGD-0.1-0
97,0.5143,0.5113,0.7440939312491158,0.7427,SmallMLP-Tanh-SGD-0.1-0
98,0.5189,0.5206,0.7326354505587778,0.7323,SmallMLP-Tanh-SGD-0.1-0
99,0.5122,0.5176,0.7356061677747914,0.7355,SmallMLP-Tanh-SGD-0.1-0
100,0.5103,0.5146,0.7449427075965483,0.7441,SmallMLP-Tanh-SGD-0.1-0
1,0.5817,0.5437,0.7283915688216155,0.7277,SmallMLP-Tanh-Adagrad-0.1-0
2,0.5384,0.5282,0.7402744376856698,0.7372,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5272,0.5225,0.7421134531051068,0.7413,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5234,0.5201,0.7436695430753997,0.7406,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5194,0.5184,0.7435280803508275,0.7428,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5156,0.5183,0.7432451549016834,0.7388,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5131,0.5132,0.7459329466685528,0.7441,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5108,0.5152,0.7433866176262555,0.7391,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5109,0.5128,0.7472061111897015,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
10,0.509,0.5185,0.742537841278823,0.7363,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5073,0.5179,0.7433866176262555,0.738,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5061,0.5401,0.7298061960673362,0.7174,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5052,0.5112,0.7466402602914132,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5052,0.509,0.7469231857405574,0.7456,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5046,0.5107,0.7486207384354223,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5027,0.514,0.742537841278823,0.7424,SmallMLP-Tanh-Adagrad-0.1-0
17,0.5034,0.5128,0.7460744093931249,0.7415,SmallMLP-Tanh-Adagrad-0.1-0
18,0.5008,0.5094,0.7428207667279672,0.7423,SmallMLP-Tanh-Adagrad-0.1-0
19,0.5017,0.5127,0.742396378554251,0.7421,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5025,0.509,0.74437685669826,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
21,0.5005,0.5075,0.7483378129862781,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
22,0.5024,0.5072,0.7463573348422691,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
23,0.5019,0.5237,0.7392841986136653,0.7392,SmallMLP-Tanh-Adagrad-0.1-0
24,0.5014,0.5063,0.7483378129862781,0.7469,SmallMLP-Tanh-Adagrad-0.1-0
25,0.4992,0.5066,0.7470646484651294,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
26,0.5005,0.5071,0.7455085584948367,0.7435,SmallMLP-Tanh-Adagrad-0.1-0
27,0.4985,0.5068,0.7479134248125618,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
28,0.5002,0.5082,0.744235393973688,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
29,0.5,0.5076,0.748054887537134,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
30,0.5003,0.5084,0.7477719620879898,0.7442,SmallMLP-Tanh-Adagrad-0.1-0
31,0.499,0.5207,0.7404159004102419,0.733,SmallMLP-Tanh-Adagrad-0.1-0
32,0.4998,0.5204,0.7414061394822464,0.7337,SmallMLP-Tanh-Adagrad-0.1-0
33,0.5001,0.5064,0.7477719620879898,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
34,0.5005,0.5067,0.7474890366388457,0.7456,SmallMLP-Tanh-Adagrad-0.1-0
35,0.4979,0.5079,0.7455085584948367,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
36,0.4984,0.5144,0.7466402602914132,0.7414,SmallMLP-Tanh-Adagrad-0.1-0
37,0.4994,0.5116,0.7440939312491158,0.744,SmallMLP-Tanh-Adagrad-0.1-0
38,0.4996,0.5071,0.7456500212194087,0.745,SmallMLP-Tanh-Adagrad-0.1-0
39,0.4993,0.5088,0.74437685669826,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
40,0.4986,0.5084,0.7449427075965483,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
41,0.4984,0.5184,0.742537841278823,0.7358,SmallMLP-Tanh-Adagrad-0.1-0
42,0.4978,0.5065,0.7479134248125618,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
43,0.4969,0.5093,0.7479134248125618,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
44,0.4984,0.5101,0.74437685669826,0.7442,SmallMLP-Tanh-Adagrad-0.1-0
45,0.498,0.508,0.7438110057999717,0.7433,SmallMLP-Tanh-Adagrad-0.1-0
46,0.4972,0.5079,0.7438110057999717,0.7433,SmallMLP-Tanh-Adagrad-0.1-0
47,0.4987,0.512,0.7446597821474041,0.7446,SmallMLP-Tanh-Adagrad-0.1-0
48,0.4966,0.5075,0.7484792757108502,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
49,0.4986,0.5069,0.7486207384354223,0.7468,SmallMLP-Tanh-Adagrad-0.1-0
50,0.4987,0.5122,0.7481963502617061,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
51,0.4971,0.5108,0.7464987975668411,0.7426,SmallMLP-Tanh-Adagrad-0.1-0
52,0.4972,0.5102,0.7493280520582827,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
53,0.4995,0.5085,0.7439524685245438,0.7435,SmallMLP-Tanh-Adagrad-0.1-0
54,0.4979,0.5087,0.7486207384354223,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
55,0.498,0.5076,0.7455085584948367,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
56,0.4974,0.5067,0.7466402602914132,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
57,0.4974,0.5067,0.7484792757108502,0.7467,SmallMLP-Tanh-Adagrad-0.1-0
58,0.4968,0.508,0.7494695147828547,0.7467,SmallMLP-Tanh-Adagrad-0.1-0
59,0.4966,0.5118,0.7436695430753997,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
60,0.4979,0.5104,0.7449427075965483,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
