epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
30,0.5036,0.5175,0.7402744376856698,0.7391,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
31,0.5038,0.5139,0.7408402885839581,0.7403,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
32,0.5048,0.5268,0.7326354505587778,0.7319,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
33,0.5029,0.5146,0.7418305276559627,0.7407,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
34,0.5029,0.5153,0.7432451549016834,0.743,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
35,0.5034,0.5153,0.7414061394822464,0.7412,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
36,0.5024,0.5157,0.7411232140331023,0.7396,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
37,0.5039,0.5139,0.7412646767576744,0.7402,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
38,0.5029,0.5146,0.7429622294525392,0.7424,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
39,0.5021,0.5187,0.740557363134814,0.7405,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
40,0.5028,0.5233,0.7404159004102419,0.7367,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
41,0.5023,0.5149,0.7414061394822464,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
42,0.5017,0.5239,0.7361720186730797,0.7359,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
43,0.5022,0.5195,0.7402744376856698,0.7402,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
44,0.5018,0.5166,0.740557363134814,0.7395,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
45,0.5014,0.5192,0.7419719903805347,0.742,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
46,0.502,0.5151,0.7406988258593861,0.7395,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
47,0.5024,0.5145,0.7418305276559627,0.7407,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
48,0.5013,0.5211,0.7392841986136653,0.7393,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
49,0.5028,0.5149,0.7419719903805347,0.7416,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
50,0.5013,0.5196,0.7421134531051068,0.7421,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
51,0.5017,0.5244,0.7408402885839581,0.7368,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
52,0.5022,0.5204,0.7401329749610978,0.7375,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
53,0.5012,0.5169,0.7409817513085302,0.7389,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
54,0.5017,0.5214,0.7382939595416608,0.7355,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
55,0.5022,0.5146,0.740557363134814,0.7395,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
56,0.5017,0.5152,0.7435280803508275,0.7433,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
57,0.5017,0.5145,0.7419719903805347,0.7415,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
58,0.5002,0.5166,0.7426793040033951,0.7426,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
59,0.5004,0.5152,0.742537841278823,0.7415,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
60,0.5011,0.5163,0.7435280803508275,0.7434,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
61,0.5006,0.518,0.7414061394822464,0.7394,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
62,0.501,0.5149,0.7412646767576744,0.7412,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
63,0.5004,0.5161,0.7416890649313905,0.7415,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
64,0.5011,0.5151,0.7412646767576744,0.7405,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
65,0.5008,0.516,0.7415476022068185,0.7412,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
66,0.5011,0.5177,0.742537841278823,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
67,0.5016,0.5148,0.7432451549016834,0.743,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
68,0.5009,0.5167,0.7418305276559627,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
69,0.5007,0.5149,0.7412646767576744,0.7402,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
70,0.5007,0.52,0.7390012731645211,0.7362,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
71,0.5013,0.5156,0.742537841278823,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
72,0.4998,0.5146,0.7426793040033951,0.7418,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
73,0.4997,0.5142,0.7426793040033951,0.7424,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
74,0.5011,0.5144,0.742537841278823,0.7416,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
75,0.501,0.5145,0.7421134531051068,0.7416,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
76,0.5001,0.5147,0.7422549158296788,0.7416,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
77,0.501,0.5159,0.7418305276559627,0.741,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
78,0.5002,0.5152,0.7414061394822464,0.7407,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
79,0.4999,0.5141,0.7426793040033951,0.7421,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
80,0.4983,0.5152,0.7419719903805347,0.7415,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
81,0.4999,0.5167,0.7426793040033951,0.7427,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
82,0.5008,0.5166,0.7419719903805347,0.7419,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
83,0.5016,0.5153,0.7412646767576744,0.74,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
84,0.5003,0.5155,0.7426793040033951,0.7411,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
85,0.5006,0.5223,0.7414061394822464,0.7381,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
86,0.5007,0.5148,0.742396378554251,0.7422,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
87,0.4995,0.5152,0.7426793040033951,0.7421,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
88,0.5003,0.5141,0.7428207667279672,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
89,0.5001,0.5154,0.7415476022068185,0.7403,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
90,0.4995,0.5213,0.7406988258593861,0.7378,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
91,0.5001,0.519,0.7428207667279672,0.7428,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
92,0.4997,0.5162,0.7428207667279672,0.7417,SmallMLP-Tanh-Adagrad-0.1-0_Drop0.0
