epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
38,0.5148,0.5132,0.516,0.7468175388967468,0.7468,0.7486207384354223,0.7485,0.7465032801089244,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
39,0.5145,0.5086,0.5114,0.7502121640735502,0.75,0.7494695147828547,0.7494,0.7489965165420048,0.7486,SmallMLP-Tanh-Adagrad-0.1-0
40,0.5125,0.5098,0.512,0.7435643564356436,0.741,0.7453670957702645,0.7438,0.746184994606829,0.7434,SmallMLP-Tanh-Adagrad-0.1-0
41,0.5129,0.5115,0.5139,0.7435643564356436,0.7407,0.7476304993634177,0.7458,0.7457606139373685,0.7425,SmallMLP-Tanh-Adagrad-0.1-0
42,0.5134,0.509,0.5116,0.7485148514851485,0.7483,0.7503182911302871,0.7503,0.7488727388467455,0.7486,SmallMLP-Tanh-Adagrad-0.1-0
43,0.5139,0.509,0.512,0.7476661951909477,0.7475,0.7508841420285755,0.7509,0.7485721358725443,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
44,0.5134,0.521,0.5243,0.7391796322489392,0.7388,0.7450841703211204,0.7442,0.7405973157922656,0.7403,SmallMLP-Tanh-Adagrad-0.1-0
45,0.5138,0.5081,0.5105,0.7476661951909477,0.7463,0.750035365681143,0.7493,0.7481831202588722,0.7466,SmallMLP-Tanh-Adagrad-0.1-0
46,0.5125,0.5073,0.5098,0.7482319660537482,0.7472,0.7489036638845664,0.7484,0.7492263894046293,0.748,SmallMLP-Tanh-Adagrad-0.1-0
47,0.5129,0.5075,0.51,0.748939179632249,0.7478,0.7507426793040034,0.7502,0.7482715328983431,0.747,SmallMLP-Tanh-Adagrad-0.1-0
48,0.5127,0.5091,0.5114,0.7458274398868459,0.7437,0.748054887537134,0.7467,0.7466270578041837,0.7442,SmallMLP-Tanh-Adagrad-0.1-0
49,0.5136,0.508,0.5107,0.7483734087694484,0.7472,0.7491865893337105,0.7486,0.7486605485120152,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
50,0.5126,0.5123,0.5148,0.7407355021216407,0.7374,0.7439524685245438,0.7418,0.7450002652379184,0.7413,SmallMLP-Tanh-Adagrad-0.1-0
51,0.5132,0.5098,0.5124,0.7492220650636492,0.7492,0.7501768284057151,0.7502,0.7483776280657083,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
52,0.513,0.5084,0.5113,0.748090523338048,0.7479,0.7522987692742962,0.7523,0.7487489611514863,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
53,0.5131,0.5079,0.5107,0.7487977369165488,0.7478,0.7501768284057151,0.7497,0.7488727388467455,0.7476,SmallMLP-Tanh-Adagrad-0.1-0
54,0.5133,0.508,0.5106,0.7483734087694484,0.7471,0.7510256047531475,0.7504,0.748165437730978,0.7466,SmallMLP-Tanh-Adagrad-0.1-0
55,0.5123,0.5101,0.5123,0.7452616690240452,0.7428,0.7467817230159853,0.7452,0.7466447403320778,0.7438,SmallMLP-Tanh-Adagrad-0.1-0
56,0.5128,0.5077,0.5102,0.7487977369165488,0.7479,0.7494695147828547,0.7491,0.7489257864304281,0.7478,SmallMLP-Tanh-Adagrad-0.1-0
57,0.5138,0.5075,0.5101,0.7476661951909477,0.7464,0.7494695147828547,0.7488,0.7482008027867664,0.7467,SmallMLP-Tanh-Adagrad-0.1-0
58,0.513,0.5087,0.5112,0.7466760961810467,0.7447,0.7483378129862781,0.7472,0.7468746131947023,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
59,0.5128,0.5092,0.5114,0.7456859971711457,0.7437,0.748054887537134,0.7469,0.7473343589199511,0.7451,SmallMLP-Tanh-Adagrad-0.1-0
60,0.5124,0.511,0.5134,0.7493635077793493,0.7493,0.7490451266091385,0.749,0.7477056920057291,0.7476,SmallMLP-Tanh-Adagrad-0.1-0
61,0.5125,0.5076,0.5099,0.7496463932107497,0.7488,0.750035365681143,0.7497,0.7491733418209467,0.7481,SmallMLP-Tanh-Adagrad-0.1-0
62,0.5123,0.5082,0.5107,0.7482319660537482,0.7479,0.7508841420285755,0.7508,0.7484306756493908,0.748,SmallMLP-Tanh-Adagrad-0.1-0
63,0.5123,0.5168,0.5191,0.7398868458274399,0.7354,0.740557363134814,0.7375,0.7425777589164146,0.7377,SmallMLP-Tanh-Adagrad-0.1-0
64,0.5124,0.5073,0.5094,0.7502121640735502,0.7494,0.7493280520582827,0.7489,0.7492617544604177,0.7481,SmallMLP-Tanh-Adagrad-0.1-0
65,0.512,0.508,0.5101,0.747949080622348,0.7464,0.7487622011599944,0.7479,0.7478117871730943,0.746,SmallMLP-Tanh-Adagrad-0.1-0
66,0.5126,0.5082,0.5102,0.7472418670438472,0.7457,0.7503182911302871,0.7495,0.7473874065036338,0.7456,SmallMLP-Tanh-Adagrad-0.1-0
67,0.5122,0.5098,0.5123,0.75007072135785,0.75,0.7508841420285755,0.7509,0.7482715328983431,0.7481,SmallMLP-Tanh-Adagrad-0.1-0
68,0.5125,0.5077,0.5103,0.7478076379066478,0.7474,0.7515914556514358,0.7515,0.7488196912630629,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
69,0.5112,0.5073,0.5099,0.7482319660537482,0.7471,0.7486207384354223,0.7481,0.7482008027867664,0.7468,SmallMLP-Tanh-Adagrad-0.1-0
70,0.5112,0.5082,0.5105,0.7461103253182461,0.7443,0.7483378129862781,0.7473,0.7474404540873163,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
71,0.5115,0.5073,0.5098,0.7473833097595474,0.7464,0.7510256047531475,0.7506,0.7489257864304281,0.7477,SmallMLP-Tanh-Adagrad-0.1-0
72,0.5119,0.5099,0.5128,0.747100424328147,0.747,0.750035365681143,0.75,0.7477410570615175,0.7476,SmallMLP-Tanh-Adagrad-0.1-0
73,0.5127,0.5088,0.5113,0.7493635077793493,0.7492,0.7521573065497241,0.7521,0.7482184853146606,0.7479,SmallMLP-Tanh-Adagrad-0.1-0
74,0.5121,0.5103,0.5128,0.7485148514851485,0.7485,0.750035365681143,0.75,0.7477410570615175,0.7476,SmallMLP-Tanh-Adagrad-0.1-0
75,0.5116,0.5076,0.5103,0.7478076379066478,0.747,0.7507426793040034,0.7504,0.7482008027867664,0.7471,SmallMLP-Tanh-Adagrad-0.1-0
76,0.5131,0.5077,0.5102,0.749080622347949,0.7485,0.750035365681143,0.7498,0.7488196912630629,0.748,SmallMLP-Tanh-Adagrad-0.1-0
77,0.5112,0.5083,0.5106,0.748090523338048,0.7464,0.7484792757108502,0.7475,0.7473697239757395,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
78,0.5107,0.5082,0.51,0.7468175388967468,0.7454,0.7493280520582827,0.7485,0.7476526444220466,0.746,SmallMLP-Tanh-Adagrad-0.1-0
79,0.5117,0.508,0.5102,0.7468175388967468,0.7464,0.7503182911302871,0.7502,0.7487843262072746,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
80,0.5107,0.5086,0.5106,0.746958981612447,0.7452,0.7481963502617061,0.7471,0.747599596838364,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
81,0.5111,0.5078,0.51,0.7486562942008487,0.7482,0.7522987692742962,0.7522,0.7488727388467455,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
82,0.51,0.5085,0.5108,0.7495049504950495,0.7493,0.7520158438251521,0.752,0.7483245804820257,0.748,SmallMLP-Tanh-Adagrad-0.1-0
83,0.5108,0.5075,0.5097,0.7468175388967468,0.7461,0.7508841420285755,0.7506,0.7491202942372641,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
84,0.5101,0.5111,0.5126,0.7454031117397454,0.7429,0.7457914839439808,0.7441,0.7462380421905116,0.7433,SmallMLP-Tanh-Adagrad-0.1-0
85,0.5106,0.5099,0.5121,0.7461103253182461,0.7438,0.7472061111897015,0.7457,0.7465032801089244,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
86,0.5104,0.5074,0.5097,0.7483734087694484,0.7477,0.7514499929268638,0.7512,0.749297119516206,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
87,0.5108,0.5083,0.5106,0.748939179632249,0.7486,0.7514499929268638,0.7514,0.7486959135678036,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
88,0.5107,0.5113,0.5139,0.7487977369165488,0.7488,0.7497524402319988,0.7497,0.7473520414478454,0.7473,SmallMLP-Tanh-Adagrad-0.1-0
89,0.5109,0.5072,0.5096,0.746958981612447,0.7463,0.7513085302022917,0.751,0.7493678496277828,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
90,0.5113,0.5075,0.5103,0.7465346534653465,0.7456,0.7525816947234404,0.7522,0.748165437730978,0.747,SmallMLP-Tanh-Adagrad-0.1-0
91,0.5107,0.5074,0.5096,0.7487977369165488,0.7482,0.7507426793040034,0.7505,0.74910261170937,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
92,0.5106,0.5088,0.511,0.7495049504950495,0.7493,0.7514499929268638,0.7514,0.7482008027867664,0.7479,SmallMLP-Tanh-Adagrad-0.1-0
93,0.5109,0.5074,0.5094,0.7486562942008487,0.7477,0.749893902956571,0.7494,0.7485544533446502,0.7473,SmallMLP-Tanh-Adagrad-0.1-0
94,0.5103,0.5084,0.5106,0.74992927864215,0.7497,0.7520158438251521,0.752,0.7483245804820257,0.748,SmallMLP-Tanh-Adagrad-0.1-0
95,0.511,0.5085,0.5107,0.7497878359264498,0.7495,0.7521573065497241,0.7521,0.7485721358725443,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
96,0.5102,0.5091,0.511,0.7495049504950495,0.7493,0.7514499929268638,0.7514,0.7485014057609676,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
97,0.5103,0.5099,0.5118,0.7478076379066478,0.7456,0.7463573348422691,0.7449,0.7466093752762895,0.744,SmallMLP-Tanh-Adagrad-0.1-0
98,0.5099,0.5205,0.5225,0.7401697312588402,0.7351,0.740557363134814,0.7369,0.7405089031527947,0.7348,SmallMLP-Tanh-Adagrad-0.1-0
99,0.5105,0.5088,0.5114,0.747949080622348,0.7478,0.7508841420285755,0.7509,0.7480416600357187,0.7478,SmallMLP-Tanh-Adagrad-0.1-0
100,0.5106,0.5081,0.5103,0.7496463932107497,0.7481,0.7494695147828547,0.7486,0.7471398511131151,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
