epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
56,0.4999,0.5084,0.7457914839439808,0.7451,SmallMLP-Tanh-Adagrad-0.1-0
57,0.5001,0.5113,0.748054887537134,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
58,0.4983,0.5095,0.7483378129862781,0.745,SmallMLP-Tanh-Adagrad-0.1-0
59,0.4979,0.5073,0.7497524402319988,0.748,SmallMLP-Tanh-Adagrad-0.1-0
60,0.5001,0.5186,0.7429622294525392,0.7363,SmallMLP-Tanh-Adagrad-0.1-0
61,0.5003,0.5114,0.7490451266091385,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
62,0.4989,0.5089,0.7456500212194087,0.7451,SmallMLP-Tanh-Adagrad-0.1-0
63,0.4981,0.5106,0.7472061111897015,0.7432,SmallMLP-Tanh-Adagrad-0.1-0
64,0.4986,0.5109,0.748054887537134,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
65,0.4997,0.509,0.7470646484651294,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
66,0.4983,0.5075,0.7490451266091385,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
67,0.4987,0.5074,0.7484792757108502,0.7471,SmallMLP-Tanh-Adagrad-0.1-0
68,0.4989,0.5075,0.7491865893337105,0.7473,SmallMLP-Tanh-Adagrad-0.1-0
69,0.4991,0.5093,0.7483378129862781,0.745,SmallMLP-Tanh-Adagrad-0.1-0
70,0.499,0.5106,0.7448012448719762,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
71,0.4984,0.5078,0.7484792757108502,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
72,0.4985,0.5086,0.748054887537134,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
73,0.4982,0.5079,0.7476304993634177,0.7468,SmallMLP-Tanh-Adagrad-0.1-0
74,0.4997,0.5079,0.7470646484651294,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
