epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
51,0.4959,0.5192,0.7470646484651294,0.747,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
52,0.4956,0.5186,0.7401329749610978,0.739,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
53,0.4958,0.5191,0.7390012731645211,0.7375,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
54,0.4961,0.5189,0.740557363134814,0.7395,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
55,0.4956,0.5171,0.7433866176262555,0.7429,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
56,0.4966,0.5178,0.7419719903805347,0.7413,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
57,0.4948,0.522,0.7445183194228321,0.7444,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
58,0.4959,0.5186,0.7406988258593861,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
59,0.4955,0.5181,0.7432451549016834,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
60,0.4957,0.5207,0.738718347715377,0.737,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
61,0.4955,0.5224,0.74437685669826,0.7444,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
62,0.4957,0.5183,0.7448012448719762,0.7447,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
63,0.495,0.52,0.7382939595416608,0.7367,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
64,0.4958,0.5181,0.7411232140331023,0.74,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
65,0.4953,0.5186,0.742537841278823,0.7418,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
66,0.4955,0.5184,0.7416890649313905,0.741,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
67,0.4952,0.5183,0.7433866176262555,0.7428,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
68,0.4956,0.5182,0.7440939312491158,0.7436,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
69,0.4951,0.5188,0.7422549158296788,0.7414,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
70,0.4948,0.5183,0.7411232140331023,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
71,0.4951,0.5217,0.7373037204696562,0.7355,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
72,0.4953,0.5188,0.7459329466685528,0.7457,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
73,0.4956,0.5212,0.7377281086433725,0.7357,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
74,0.4947,0.5197,0.7399915122365257,0.7387,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
75,0.4944,0.52,0.7445183194228321,0.7443,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
76,0.4953,0.5191,0.740557363134814,0.7395,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
77,0.4948,0.5214,0.7464987975668411,0.7465,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
78,0.4942,0.5188,0.7439524685245438,0.7436,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
79,0.4945,0.5184,0.74437685669826,0.744,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
80,0.4945,0.5184,0.7418305276559627,0.7409,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
81,0.4947,0.5182,0.7421134531051068,0.7412,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
82,0.4941,0.5195,0.7456500212194087,0.7456,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
83,0.4945,0.5201,0.7394256613382374,0.7377,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
84,0.4942,0.5197,0.7401329749610978,0.7384,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
85,0.4939,0.5244,0.7364549441222238,0.7336,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
86,0.4947,0.5187,0.7409817513085302,0.7398,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
87,0.4944,0.5187,0.74437685669826,0.744,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
88,0.4941,0.5202,0.7394256613382374,0.738,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
89,0.4946,0.5196,0.7418305276559627,0.7412,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
90,0.4945,0.5181,0.744235393973688,0.7436,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
91,0.494,0.5188,0.742396378554251,0.7416,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
92,0.4943,0.5222,0.7388598104399491,0.7376,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
93,0.494,0.5188,0.7431036921771114,0.7423,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
94,0.4938,0.519,0.7445183194228321,0.7444,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
95,0.4945,0.5182,0.7435280803508275,0.7432,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
96,0.4944,0.5191,0.7402744376856698,0.7389,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
97,0.4939,0.5189,0.742537841278823,0.7417,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
98,0.4931,0.525,0.7361720186730797,0.7336,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
99,0.4944,0.5194,0.7428207667279672,0.7421,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
100,0.4937,0.5206,0.7450841703211204,0.7449,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
1,0.5926,0.5584,0.7197623426227189,0.7107,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
2,0.5436,0.5265,0.7409817513085302,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
3,0.5377,0.5222,0.7432451549016834,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
4,0.5321,0.5187,0.744235393973688,0.7437,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
5,0.5291,0.5149,0.7473475739142736,0.747,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
6,0.5256,0.5299,0.7303720469656245,0.7294,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
7,0.5254,0.5115,0.7487622011599944,0.7484,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
8,0.5233,0.509,0.7481963502617061,0.7467,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
9,0.5208,0.5123,0.7486207384354223,0.7459,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
10,0.5204,0.5196,0.7408402885839581,0.7349,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
11,0.5191,0.5089,0.755693874664026,0.755,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
12,0.519,0.5092,0.75187438110058,0.7517,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
13,0.5185,0.5057,0.7534304710708728,0.7531,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
14,0.5181,0.5055,0.7548450983165936,0.7544,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
15,0.5159,0.5105,0.7481963502617061,0.7441,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
16,0.5169,0.5075,0.7491865893337105,0.7461,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
17,0.5144,0.5057,0.7539963219691611,0.7539,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
18,0.5148,0.5075,0.7534304710708728,0.7534,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
19,0.5148,0.5088,0.7501768284057151,0.7501,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
20,0.5134,0.503,0.755552411939454,0.7552,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
21,0.5124,0.5033,0.7538548592445891,0.752,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
22,0.5134,0.5054,0.7558353373885981,0.7558,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
23,0.5132,0.503,0.7558353373885981,0.7557,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
24,0.5118,0.5145,0.7466402602914132,0.7413,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
25,0.5112,0.5018,0.7565426510114585,0.7554,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
26,0.5113,0.5178,0.7397085867873815,0.739,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
27,0.5128,0.5036,0.7558353373885981,0.7537,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
28,0.512,0.5022,0.7572499646343188,0.7556,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
29,0.5107,0.5059,0.7564011882868864,0.7564,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
30,0.5105,0.5023,0.7596548309520441,0.7595,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
31,0.5102,0.504,0.7576743528080351,0.7576,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
32,0.5092,0.5028,0.7593719055029,0.7592,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
33,0.5099,0.5123,0.7438110057999717,0.7434,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
34,0.5095,0.5047,0.7566841137360305,0.7567,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
35,0.5091,0.503,0.7572499646343188,0.7554,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
36,0.511,0.5006,0.7610694581977648,0.7604,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
37,0.5092,0.5005,0.7605036072994766,0.7599,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
38,0.5095,0.5037,0.7551280237657377,0.7527,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
39,0.5098,0.5013,0.7596548309520441,0.7593,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
40,0.5096,0.5022,0.7583816664308954,0.7583,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
41,0.5098,0.5111,0.7460744093931249,0.7457,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
42,0.5082,0.5027,0.759230442778328,0.759,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
43,0.5091,0.5052,0.7559768001131701,0.756,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
44,0.5089,0.5006,0.7603621445749045,0.7597,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
45,0.5083,0.501,0.7624840854434857,0.7616,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
46,0.509,0.5009,0.7596548309520441,0.7585,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
47,0.5092,0.5016,0.761210920922337,0.7604,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
48,0.5091,0.5005,0.7597962936766162,0.7589,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
49,0.5085,0.5026,0.7595133682274721,0.7594,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
50,0.5089,0.5032,0.7566841137360305,0.7544,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
51,0.5089,0.5011,0.7599377564011883,0.7593,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
52,0.5076,0.5016,0.7595133682274721,0.7581,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
53,0.5094,0.502,0.7593719055029,0.7592,SmallMLP-Tanh-Adagrad-0.1-0_Batch64
